fighter_a,fighter_b,event_date,target,elo_diff,elo_momentum_diff,height_diff,reach_diff,age_diff,slpm_diff,str_acc_diff,str_def_diff,td_avg_diff,td_acc_diff,td_def_diff,sub_avg_diff,days_since_last_diff,fight_rate_diff,opp_quality_diff,finish_rate_diff,ko_rate_diff,sub_rate_diff,win_streak_diff,kd_diff,same_stance,stance_?_vs_?,wc_Bantamweight,wc_Catch Weight,wc_Featherweight,wc_Flyweight,wc_Heavyweight,wc_Light Heavyweight,wc_Lightweight,wc_Middleweight,wc_Open Weight,wc_Super Heavyweight,wc_Welterweight,wc_Women's Bantamweight,wc_Women's Featherweight,wc_Women's Flyweight,wc_Women's Strawweight
Scott Morris,Sean Daugherty,"March 11, 1994",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Royce Gracie,Patrick Smith,"March 11, 1994",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Royce Gracie,Remco Pardoel,"March 11, 1994",0.0,-16.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Patrick Smith,Johnny Rhodes,"March 11, 1994",1.0,16.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,1,0.0,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Royce Gracie,Jason DeLucia,"March 11, 1994",0.0,-31.26369320647791,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Remco Pardoel,Orlando Wiet,"March 11, 1994",0.0,15.26369320647791,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,-16.0,1.0,0.0,1.0,1,0.0,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Johnny Rhodes,Fred Ettish,"March 11, 1994",1.0,-15.26369320647791,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,16.0,0.0,0.0,0.0,0,10.0,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Patrick Smith,Ray Wizard,"March 11, 1994",0.0,31.26369320647791,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.5,0.5,2,0.0,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Royce Gracie,Minoki Ichihara,"March 11, 1994",0.0,-45.8278203282016,-45.8278203282016,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Jason DeLucia,Scott Baker,"March 11, 1994",0.0,14.564127121723686,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,-31.26369320647791,1.0,0.0,1.0,1,0.0,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
