fight_id,fight_url,fighter_a,fighter_b,winner,kd_a,kd_b,str_a,str_b,td_a,td_b,sub_a,sub_b,weight_class,method,round,time,event_id,event_date
70f1621080b3435c,http://ufcstats.com/fight-details/70f1621080b3435c,Khamzat Chimaev,Sean Strickland,,,,,,View M,atchup,,,Middleweight,,,,9eedac48b497de5a,"May 09, 2026"
c85b530861145935,http://ufcstats.com/fight-details/c85b530861145935,Joshua Van,Tatsuro Taira,,,,,,View M,atchup,,,Flyweight,,,,9eedac48b497de5a,"May 09, 2026"
22ba4f1b0aafbf82,http://ufcstats.com/fight-details/22ba4f1b0aafbf82,Alexander Volkov,Waldo Cortes Acosta,,,,,,View M,atchup,,,Heavyweight,,,,9eedac48b497de5a,"May 09, 2026"
845b8653f9cf839c,http://ufcstats.com/fight-details/845b8653f9cf839c,Sean Brady,Joaquin Buckley,,,,,,View M,atchup,,,Welterweight,,,,9eedac48b497de5a,"May 09, 2026"
1158a27a1a04b971,http://ufcstats.com/fight-details/1158a27a1a04b971,King Green,Jeremy Stephens,,,,,,View M,atchup,,,Lightweight,,,,9eedac48b497de5a,"May 09, 2026"
770c5302e32916ea,http://ufcstats.com/fight-details/770c5302e32916ea,Ateba Gautier,Ozzy Diaz,,,,,,View M,atchup,,,Middleweight,,,,9eedac48b497de5a,"May 09, 2026"
f88dc6e0c29cff1d,http://ufcstats.com/fight-details/f88dc6e0c29cff1d,Joel Alvarez,Yaroslav Amosov,,,,,,View M,atchup,,,Welterweight,,,,9eedac48b497de5a,"May 09, 2026"
ffcb47e17eebe6a6,http://ufcstats.com/fight-details/ffcb47e17eebe6a6,Grant Dawson,Mateusz Rebecki,,,,,,View M,atchup,,,Lightweight,,,,9eedac48b497de5a,"May 09, 2026"
e50857173607d631,http://ufcstats.com/fight-details/e50857173607d631,Jim Miller,Jared Gordon,,,,,,View M,atchup,,,Lightweight,,,,9eedac48b497de5a,"May 09, 2026"
9d35723a53749931,http://ufcstats.com/fight-details/9d35723a53749931,Roman Kopylov,Marco Tulio,,,,,,View M,atchup,,,Middleweight,,,,9eedac48b497de5a,"May 09, 2026"
303018d7459323b4,http://ufcstats.com/fight-details/303018d7459323b4,Pat Sabatini,William Gomis,,,,,,View M,atchup,,,Featherweight,,,,9eedac48b497de5a,"May 09, 2026"
